Actors,Awards,Box Office,Country,Director,Genre,Rated,Title,Writer(s),Year,imdbRating
"Sally Kirkland, Anthony Ramirez, Ray LePere, Steve Reed",Won 2 Oscars. Another 17 wins & 27 nominations.,N/A,"France, USA",Oliver Stone,"Drama, History, Thriller",R,JFK,"Oliver Stone (screenplay), Zachary Sklar (screenplay), Jim Garrison (book), Jim Marrs (book)",1991,8.0
"Nick Nolte, Barbra Streisand, Blythe Danner, Kate Nelligan",Nominated for 7 Oscars. Another 3 wins & 11 nominations.,N/A,USA,Barbra Streisand,"Drama, Romance",R,The Prince of Tides,"Pat Conroy (novel), Pat Conroy (screenplay), Becky Johnston (screenplay)",1991,6.7
"Forest Whitaker, Miranda Richardson, Stephen Rea, Adrian Dunbar",Won 1 Oscar. Another 21 wins & 46 nominations.,N/A,"UK, Japan, USA",Neil Jordan,"Crime, Drama, Romance, Thriller",R,The Crying Game,Neil Jordan,1992,7.3
"Tom Cruise, Jack Nicholson, Demi Moore, Kevin Bacon",Nominated for 4 Oscars. Another 10 wins & 26 nominations.,N/A,USA,Rob Reiner,"Drama, Thriller",R,A Few Good Men,"Aaron Sorkin (play), Aaron Sorkin (screenplay)",1992,7.7
"Vanessa Redgrave, Helena Bonham Carter, Joseph Bennett, Emma Thompson",Won 3 Oscars. Another 29 wins & 48 nominations.,"$157,888","UK, Japan, USA",James Ivory,"Drama, Romance",PG,Howards End,"E.M. Forster (novel), Ruth Prawer Jhabvala (screenplay)",1992,7.5
"Al Pacino, Chris O'Donnell, James Rebhorn, Gabrielle Anwar",Won 1 Oscar. Another 5 wins & 14 nominations.,N/A,USA,Martin Brest,Drama,R,Scent of a Woman,"Giovanni Arpino (novel), Bo Goldman (screenplay), Ruggero Maccari (character from Profumo Di Donna), Dino Risi (character from Profumo Di Donna)",1992,8.0
"Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore",Won 1 Oscar. Another 11 wins & 33 nominations.,N/A,USA,Andrew Davis,"Action, Crime, Drama, Mystery, Thriller",PG-13,The Fugitive,"Jeb Stuart (screenplay), David Twohy (screenplay), David Twohy (story), Roy Huggins (characters)",1993,7.8
"Alison Crosbie, Daniel Day-Lewis, Philip King, Emma Thompson",Nominated for 7 Oscars. Another 7 wins & 33 nominations.,N/A,"Ireland, UK, USA",Jim Sheridan,"Biography, Drama",R,In the Name of the Father,"Gerry Conlon (autobiographical book ""Proved Innocent""), Terry George (screenplay), Jim Sheridan (screenplay)",1993,8.1
"Holly Hunter, Harvey Keitel, Sam Neill, Anna Paquin",Won 3 Oscars. Another 60 wins & 56 nominations.,N/A,"New Zealand, Australia, France",Jane Campion,"Drama, Music, Romance",R,The Piano,Jane Campion,1993,7.6
"John Haycraft, Christopher Reeve, Anthony Hopkins, Emma Thompson",Nominated for 8 Oscars. Another 16 wins & 31 nominations.,N/A,"USA, UK",James Ivory,"Drama, Romance",PG,The Remains of the Day,"Kazuo Ishiguro (novel), Ruth Prawer Jhabvala (screenplay)",1993,7.9
"Hugh Grant, James Fleet, Simon Callow, John Hannah",Nominated for 2 Oscars. Another 24 wins & 23 nominations.,N/A,UK,Mike Newell,"Comedy, Drama, Romance",R,Four Weddings and a Funeral,Richard Curtis,1994,7.1
"Tim Roth, Amanda Plummer, Laura Lovelace, John Travolta",Won 1 Oscar. Another 62 wins & 69 nominations.,N/A,USA,Quentin Tarantino,"Crime, Drama",R,Pulp Fiction,"Quentin Tarantino (stories), Roger Avary (stories), Quentin Tarantino",1994,8.9
"John Turturro, Rob Morrow, Ralph Fiennes, Paul Scofield",Nominated for 4 Oscars. Another 6 wins & 28 nominations.,N/A,USA,Robert Redford,"Biography, Drama, History",PG-13,Quiz Show,"Paul Attanasio (screenplay), Richard N. Goodwin (book)",1994,7.5
"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler",Nominated for 7 Oscars. Another 19 wins & 32 nominations.,N/A,USA,Frank Darabont,Drama,R,The Shawshank Redemption,"Stephen King (short story ""Rita Hayworth and Shawshank Redemption""), Frank Darabont (screenplay)",1994,9.3
