Actors,Awards,Box Office,Country,Director,Genre,Rated,Title,Writer(s),Year,imdbRating
"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Porter Hall",Nominated for 7 Oscars. Another 2 wins & 2 nominations.,N/A,USA,Billy Wilder,"Crime, Drama, Film-Noir, Mystery, Thriller",PASSED,Double Indemnity,"Billy Wilder (screenplay), Raymond Chandler (screenplay), James M. Cain (from the novel by)",1944,8.3
"Charles Boyer, Ingrid Bergman, Joseph Cotten, May Whitty",Won 2 Oscars. Another 3 wins & 7 nominations.,N/A,USA,George Cukor,"Crime, Drama, Mystery, Thriller",NOT RATED,Gaslight,"John Van Druten (screenplay), Walter Reisch (screenplay), John L. Balderston (screenplay), Patrick Hamilton (play)",1944,7.8
"Claudette Colbert, Jennifer Jones, Joseph Cotten, Shirley Temple",Won 1 Oscar. Another 8 nominations.,N/A,USA,"John Cromwell, Edward F. Cline, Tay Garnett, David O. Selznick","Drama, Romance, War",APPROVED,Since You Went Away,"Margaret Buell Wilder (book), Margaret Buell Wilder (adaptation), David O. Selznick (screenplay)",1944,7.6
"Woody Harrelson, Sandy Oian-Thomas, Shaun Brown, James Robert Miller",1 nomination.,"$652,997",USA,Craig Johnson,"Comedy, Drama",R,Wilson,"Daniel Clowes (graphic novel), Daniel Clowes (screenplay)",2017,5.8
"Frank Sinatra, Kathryn Grayson, Gene Kelly, José Iturbi",Won 1 Oscar. Another 4 nominations.,N/A,USA,George Sidney,"Comedy, Fantasy, Musical",PASSED,Anchors Aweigh,"Isobel Lennart (screen play), Natalie Marcin (suggested by a story by)",1945,7.2
"Bing Crosby, Ingrid Bergman, Henry Travers, William Gargan",Won 1 Oscar. Another 3 wins & 7 nominations.,N/A,USA,Leo McCarey,Drama,UNRATED,The Bells of St. Mary's,"Dudley Nichols (screenplay), Leo McCarey (story)",1945,7.4
"Joan Crawford, Jack Carson, Zachary Scott, Eve Arden",Won 1 Oscar. Another 2 wins & 6 nominations.,N/A,USA,Michael Curtiz,"Crime, Drama, Film-Noir, Mystery, Romance",PASSED,Mildred Pierce,"Ranald MacDougall (screenplay), James M. Cain (novel)",1945,8.0
"Ingrid Bergman, Gregory Peck, Michael Chekhov, Leo G. Carroll",Won 1 Oscar. Another 1 win & 6 nominations.,N/A,USA,Alfred Hitchcock,"Film-Noir, Mystery, Romance, Thriller",NOT RATED,Spellbound,"Ben Hecht (screen play), John Palmer (suggested by novel: ""The House of Dr. Edwardes""), Hilary St George Saunders (suggested by novel: ""The House of Dr. Edwardes""), Angus MacPhail (adaptation)",1945,7.6
"Derek Jacobi, Kenneth Branagh, Simon Shepherd, James Larkin",Won 1 Oscar. Another 9 wins & 13 nominations.,N/A,UK,Kenneth Branagh,"Action, Biography, Drama",PG-13,Henry V,"William Shakespeare (by), Kenneth Branagh (adapted for the screen by)",1989,7.7
"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell",Nominated for 5 Oscars. Another 6 wins & 1 nomination.,N/A,USA,Frank Capra,"Drama, Family, Fantasy",PG,It's a Wonderful Life,"Frances Goodrich (screenplay), Albert Hackett (screenplay), Frank Capra (screenplay), Jo Swerling (additional scenes), Philip Van Doren Stern (story)",1946,8.6
"Tyrone Power, Gene Tierney, John Payne, Anne Baxter",Won 1 Oscar. Another 2 wins & 3 nominations.,N/A,USA,Edmund Goulding,"Drama, Romance",APPROVED,The Razor's Edge,"Lamar Trotti (screen play), W. Somerset Maugham (from the novel by)",1946,7.5
"Gregory Peck, Jane Wyman, Claude Jarman Jr., Chill Wills",Won 2 Oscars. Another 1 win & 5 nominations.,N/A,USA,Clarence Brown,"Drama, Family, Western",APPROVED,The Yearling,"Paul Osborn (screen play), Marjorie Kinnan Rawlings (based on the Pulitzer Prize novel by)",1946,7.3
"Cary Grant, Loretta Young, David Niven, Monty Woolley",Won 1 Oscar. Another 4 nominations.,N/A,USA,Henry Koster,"Comedy, Drama, Fantasy, Romance",NOT RATED,The Bishop's Wife,"Robert E. Sherwood (screenplay), Leonardo Bercovici (screenplay), Robert Nathan (novel)",1947,7.6
"Robert Young, Robert Mitchum, Robert Ryan, Gloria Grahame",Nominated for 5 Oscars. Another 3 wins & 3 nominations.,N/A,USA,Edward Dmytryk,"Crime, Drama, Film-Noir",UNRATED,Crossfire,"John Paxton (screenplay), Richard Brooks (adapted from a novel by)",1947,7.4
"Ethan Hawke, Gwyneth Paltrow, Hank Azaria, Chris Cooper",1 win & 3 nominations.,N/A,USA,Alfonso Cuarón,"Drama, Romance",R,Great Expectations,"Charles Dickens (novel), Mitch Glazer (screenplay)",1998,6.8
"Maureen O'Hara, John Payne, Edmund Gwenn, Gene Lockhart",Won 3 Oscars. Another 5 wins & 1 nomination.,N/A,USA,George Seaton,"Comedy, Drama, Family",NOT RATED,Miracle on 34th Street,"George Seaton (written for the screen by), Valentine Davies (story)",1947,7.9
"Jane Wyman, Lew Ayres, Charles Bickford, Agnes Moorehead",Won 1 Oscar. Another 4 wins & 13 nominations.,N/A,USA,Jean Negulesco,Drama,UNRATED,Johnny Belinda,"Irma von Cube (screenplay), Allen Vincent (screenplay), Elmer Harris (from the stage play by)",1948,7.8
"Marius Goring, Jean Short, Gordon Littmann, Julia Lang",Won 2 Oscars. Another 3 wins & 5 nominations.,N/A,UK,"Michael Powell, Emeric Pressburger","Drama, Music, Romance",NOT RATED,The Red Shoes,"Hans Christian Andersen (fairy tale), Emeric Pressburger (original screenplay), Keith Winter (additional dialogue), Michael Powell, Emeric Pressburger",1948,8.3
"Olivia de Havilland, Mark Stevens, Leo Genn, Celeste Holm",Won 1 Oscar. Another 9 wins & 9 nominations.,N/A,USA,Anatole Litvak,"Drama, Mystery",APPROVED,The Snake Pit,"Frank Partos (screen play), Millen Brand (screen play), Mary Jane Ward (based on the novel by)",1948,7.7
"Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett",Won 3 Oscars. Another 12 wins & 5 nominations.,N/A,USA,John Huston,"Adventure, Drama, Western",NOT RATED,The Treasure of the Sierra Madre,"John Huston (screenplay), B. Traven (based on the novel by)",1948,8.3
"Van Johnson, John Hodiak, Ricardo Montalban, George Murphy",Won 2 Oscars. Another 3 wins & 5 nominations.,N/A,USA,William A. Wellman,"Action, Drama, War",APPROVED,Battleground,Robert Pirosh (story and screenplay),1949,7.5
"Olivia de Havilland, Montgomery Clift, Ralph Richardson, Miriam Hopkins",Won 4 Oscars. Another 5 wins & 8 nominations.,N/A,USA,William Wyler,"Drama, Romance",NOT RATED,The Heiress,"Ruth Goetz (written for the screen by), Augustus Goetz (written for the screen by), Ruth Goetz (from the play ""The Heiress""by), Augustus Goetz (from the play ""The Heiress""by), Henry James (suggested by the novel ""Washington Square"" by)",1949,8.2
"Jeanne Crain, Linda Darnell, Ann Sothern, Kirk Douglas",Won 2 Oscars. Another 3 wins & 1 nomination.,N/A,USA,Joseph L. Mankiewicz,"Drama, Romance",UNRATED,A Letter to Three Wives,"Vera Caspary (adaptation), John Klempner (Cosmopolitan Magazine novel), Joseph L. Mankiewicz (screenplay)",1949,7.8
"Gregory Peck, Hugh Marlowe, Gary Merrill, Millard Mitchell",Won 2 Oscars. Another 3 wins & 3 nominations.,N/A,USA,Henry King,"Drama, War",NOT RATED,Twelve O'Clock High,"Sy Bartlett (screenplay), Beirne Lay Jr. (screenplay), Beirne Lay Jr. (novel), Sy Bartlett (novel)",1949,7.8
"Judy Holliday, Broderick Crawford, William Holden, Howard St. John",Won 1 Oscar. Another 3 wins & 10 nominations.,N/A,USA,George Cukor,"Comedy, Drama, Romance",APPROVED,Born Yesterday,"Garson Kanin (play), Albert Mannheimer (screenplay)",1950,7.6
"Steve Martin, Diane Keaton, Kimberly Williams-Paisley, Kieran Culkin",1 win & 4 nominations.,N/A,USA,Charles Shyer,"Comedy, Family, Romance",PG,Father of the Bride,"Frances Goodrich (screenplay), Albert Hackett (screenplay), Nancy Meyers (screenplay), Charles Shyer (screenplay)",1991,6.5
"Noah Wyle, Gabrielle Anwar, Bob Newhart, Jane Curtin",Nominated for 2 Primetime Emmys. Another 1 win & 4 nominations.,N/A,USA,Jonathan Frakes,"Action, Adventure, Comedy, Drama, Fantasy, Romance, Thriller",TV-PG,The Librarian: Return to King Solomon's Mines,"Marco Schnabel, David N. Titcher (characters)",2006,6.3
Victoria Ullmann,N/A,N/A,"USA, Germany",Ulli Lommel,Drama,N/A,Sunset Blvd.,"Ulli Lommel, Franklin D. Williams",2012,5.2
"Richard Basehart, Gary Merrill, Oskar Werner, Hildegard Knef",Nominated for 2 Oscars. Another 1 win & 2 nominations.,N/A,"USA, West Germany",Anatole Litvak,"Drama, War",NOT RATED,Decision Before Dawn,"Peter Viertel (screenplay), George Howe (novel)",1951,7.4
"Montgomery Clift, Elizabeth Taylor, Shelley Winters, Anne Revere",Won 6 Oscars. Another 8 wins & 10 nominations.,N/A,USA,George Stevens,"Drama, Romance",NOT RATED,A Place in the Sun,"Theodore Dreiser (novel), Patrick Kearney (play), Michael Wilson (screenplay), Harry Brown (screenplay)",1951,7.8
"Robert Taylor, Deborah Kerr, Leo Genn, Peter Ustinov",Nominated for 8 Oscars. Another 4 wins & 3 nominations.,N/A,USA,"Mervyn LeRoy, Anthony Mann","Biography, Drama, History, Romance",NOT RATED,Quo Vadis,"John Lee Mahin (screen play), S.N. Behrman (screen play), Sonya Levien (screen play), Henryk Sienkiewicz (based on the novel by)",1951,7.2
"Vivien Leigh, Marlon Brando, Kim Hunter, Karl Malden",Won 4 Oscars. Another 13 wins & 15 nominations.,N/A,USA,Elia Kazan,Drama,PG,A Streetcar Named Desire,"Tennessee Williams (screen play), Oscar Saul (adaptation), Tennessee Williams (original play ""A Streetcar Named Desire"")",1951,8.0
"Gary Cooper, Thomas Mitchell, Lloyd Bridges, Katy Jurado",Won 4 Oscars. Another 13 wins & 10 nominations.,N/A,USA,Fred Zinnemann,"Action, Drama, Thriller, Western",PG,High Noon,"Carl Foreman (screenplay by), John W. Cunningham (based on the magazine story ""The Tin Star"" by)",1952,8.0
"Robert Taylor, Elizabeth Taylor, Joan Fontaine, George Sanders",Nominated for 3 Oscars. Another 4 nominations.,N/A,"USA, UK",Richard Thorpe,"Adventure, Drama, History",APPROVED,Ivanhoe,"Noel Langley (screenplay), Æneas MacKenzie (adaptation), Marguerite Roberts (screenplay)",1952,6.8
"José Ferrer, Zsa Zsa Gabor, Suzanne Flon, Claude Nollier",Won 2 Oscars. Another 4 wins & 10 nominations.,N/A,UK,John Huston,"Biography, Drama, Music",NOT RATED,Moulin Rouge,"Pierre La Mure (novel), Anthony Veiller (screenplay), John Huston (screenplay)",1952,7.1
"John Wayne, Maureen O'Hara, Barry Fitzgerald, Ward Bond",Won 2 Oscars. Another 8 wins & 8 nominations.,N/A,USA,John Ford,"Comedy, Drama, Romance",NOT RATED,The Quiet Man,"Frank S. Nugent (screenplay), Maurice Walsh (from the story by)",1952,7.8
"Marlon Brando, James Mason, John Gielgud, Louis Calhern",Won 1 Oscar. Another 6 wins & 7 nominations.,N/A,USA,Joseph L. Mankiewicz,"Biography, Drama, History",NOT RATED,Julius Caesar,William Shakespeare (play),1953,7.4
"Richard Burton, Jean Simmons, Victor Mature, Michael Rennie",Won 2 Oscars. Another 3 wins & 4 nominations.,N/A,USA,Henry Koster,"Drama, History",UNRATED,The Robe,"Philip Dunne (screenplay), Gina Kaus (adaptation), Lloyd C. Douglas (novel), Albert Maltz (screenplay)",1953,6.8
"Gregory Peck, Audrey Hepburn, Eddie Albert, Hartley Power",Won 3 Oscars. Another 7 wins & 15 nominations.,N/A,USA,William Wyler,"Comedy, Romance",NOT RATED,Roman Holiday,"Ian McLellan Hunter (screenplay), John Dighton (screenplay), Dalton Trumbo (screenplay), Dalton Trumbo (story)",1953,8.1
"Alan Ladd, Jean Arthur, Van Heflin, Brandon De Wilde",Won 1 Oscar. Another 4 wins & 10 nominations.,N/A,USA,George Stevens,"Drama, Western",NOT RATED,Shane,"A.B. Guthrie Jr. (screenplay), Jack Sher (additional dialogue), Jack Schaefer (based on the novel by)",1953,7.7
"Humphrey Bogart, José Ferrer, Van Johnson, Fred MacMurray",Nominated for 7 Oscars. Another 6 nominations.,N/A,USA,Edward Dmytryk,"Drama, War",NOT RATED,The Caine Mutiny,"Stanley Roberts (screen play), Michael Blankfort (additional dialogue), Herman Wouk (based upon the Pulitzer Prize winning novel by)",1954,7.8
"Bing Crosby, Grace Kelly, William Holden, Anthony Ross",Won 2 Oscars. Another 5 wins & 11 nominations.,N/A,USA,George Seaton,"Drama, Music",UNRATED,The Country Girl,"Clifford Odets (play), George Seaton (written for the screen by)",1954,7.3
"Howard Keel, Jeff Richards, Russ Tamblyn, Tommy Rall",Won 1 Oscar. Another 4 wins & 7 nominations.,N/A,USA,Stanley Donen,"Comedy, Drama, Musical, Romance, Western",G,Seven Brides for Seven Brothers,"Albert Hackett (screenplay), Frances Goodrich (screenplay), Dorothy Kingsley (screenplay), Stephen Vincent Benet (story ""The Sobbin' Women"")",1954,7.4
"Clifton Webb, Dorothy McGuire, Jean Peters, Louis Jourdan",Won 2 Oscars. Another 3 nominations.,N/A,USA,Jean Negulesco,Drama,UNRATED,Three Coins in the Fountain,"John Patrick (screen play), John H. Secondari (from a novel by)",1954,6.3
"William Holden, Jennifer Jones, Torin Thatcher, Isobel Elsom",Won 3 Oscars. Another 2 wins & 6 nominations.,N/A,USA,"Henry King, Otto Lang","Biography, Drama, Romance",UNRATED,Love Is a Many-Splendored Thing,"John Patrick (screenplay), Han Suyin (novel)",1955,6.6
"Henry Fonda, James Cagney, William Powell, Jack Lemmon",Won 1 Oscar. Another 2 wins & 5 nominations.,N/A,USA,"John Ford, Mervyn LeRoy, Joshua Logan","Comedy, Drama, War",NOT RATED,Mister Roberts,"Frank S. Nugent (screenplay), Joshua Logan (screenplay), Thomas Heggen (based on the play by), Joshua Logan (based on the play by), Thomas Heggen (from the novel by)",1955,7.8
"William Holden, Kim Novak, Betty Field, Susan Strasberg",Won 2 Oscars. Another 3 wins & 11 nominations.,N/A,USA,Joshua Logan,"Drama, Romance",APPROVED,Picnic,"Daniel Taradash (screenplay), William Inge (play)",1956,7.2
"Anna Magnani, Burt Lancaster, Marisa Pavan, Ben Cooper",Won 3 Oscars. Another 7 wins & 7 nominations.,N/A,USA,Daniel Mann,"Comedy, Drama, Romance",UNRATED,The Rose Tattoo,"Tennessee Williams (screenplay), Hal Kanter (adaptation), Tennessee Williams (play)",1955,7.2
"Gary Cooper, Dorothy McGuire, Anthony Perkins, Richard Eyer",Nominated for 6 Oscars. Another 5 wins & 4 nominations.,N/A,USA,William Wyler,"Drama, Romance, War",PASSED,Friendly Persuasion,"Jessamyn West (book), Michael Wilson (screenplay)",1956,7.4
"Elizabeth Taylor, Rock Hudson, James Dean, Carroll Baker",Won 1 Oscar. Another 6 wins & 15 nominations.,N/A,USA,George Stevens,"Drama, Western",G,Giant,"Edna Ferber (from the novel by), Fred Guiol (screen play), Ivan Moffat (screen play)",1956,7.7
"Deborah Kerr, Yul Brynner, Rita Moreno, Martin Benson",Won 5 Oscars. Another 5 wins & 11 nominations.,N/A,USA,Walter Lang,"Biography, Drama, Musical",G,The King and I,"Ernest Lehman (screenplay), Oscar Hammerstein II (book), Margaret Landon (from their musical play based on Anna and the King of Siam by)",1956,7.5
"Charlton Heston, Yul Brynner, Anne Baxter, Edward G. Robinson",Won 1 Oscar. Another 6 wins & 8 nominations.,N/A,USA,Cecil B. DeMille,"Adventure, Drama",G,The Ten Commandments,"Dorothy Clarke Wilson (this work contains material from the book ""Prince of Egypt""), J.H. Ingraham (this work contains material from the book ""Pillar of Fire""), A.E. Southon (this work contains material from the book ""On Eagle's Wing""), Æneas MacKenzie (written for the screen by), Jesse Lasky Jr. (written for the screen by), Jack Gariss (written for the screen by), Fredric M. Frank (written for the screen by)",1956,7.9
"Lana Turner, Lee Philips, Lloyd Nolan, Arthur Kennedy",Nominated for 9 Oscars. Another 2 wins & 8 nominations.,N/A,USA,Mark Robson,"Drama, Romance",APPROVED,Peyton Place,"John Michael Hayes (screenplay), Grace Metalious (from the novel by)",1957,7.2
"Marlon Brando, Patricia Owens, James Garner, Martha Scott",Won 4 Oscars. Another 4 wins & 18 nominations.,N/A,USA,Joshua Logan,"Drama, Romance",NOT RATED,Sayonara,"Paul Osborn (screen play), James A. Michener (based on the novel by)",1957,7.2
"Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall",Nominated for 3 Oscars. Another 16 wins & 8 nominations.,N/A,USA,Sidney Lumet,"Crime, Drama",APPROVED,12 Angry Men,"Reginald Rose (story), Reginald Rose (screenplay)",1957,8.9
"Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester",Nominated for 6 Oscars. Another 3 wins & 9 nominations.,N/A,USA,Billy Wilder,"Crime, Drama, Mystery, Thriller",NOT RATED,Witness for the Prosecution,"Agatha Christie (in Agatha Christie's international stage success), Billy Wilder (screen play), Harry Kurnitz (screen play), Lawrence B. Marcus (adaptation)",1957,8.4
"Rosalind Russell, Forrest Tucker, Coral Browne, Fred Clark",Nominated for 6 Oscars. Another 4 wins & 6 nominations.,N/A,USA,Morton DaCosta,"Comedy, Drama, Romance",UNRATED,Auntie Mame,"Betty Comden (screenplay), Adolph Green (screenplay), Patrick Dennis (from the novel: ""Auntie Mame"" by)",1958,8.0
"Elizabeth Taylor, Paul Newman, Burl Ives, Jack Carson",Nominated for 6 Oscars. Another 3 wins & 10 nominations.,N/A,USA,Richard Brooks,Drama,NOT RATED,Cat on a Hot Tin Roof,"Richard Brooks (screenplay), James Poe (screenplay), Tennessee Williams (play)",1958,8.1
"Tony Curtis, Sidney Poitier, Theodore Bikel, Charles McGraw",Won 2 Oscars. Another 12 wins & 21 nominations.,N/A,USA,Stanley Kramer,"Crime, Drama",APPROVED,The Defiant Ones,"Nedrick Young, Harold Jacob Smith",1958,7.7
"Deborah Kerr, Rita Hayworth, David Niven, Wendy Hiller",Won 2 Oscars. Another 5 wins & 15 nominations.,N/A,USA,Delbert Mann,"Drama, Romance",UNRATED,Separate Tables,"Terence Rattigan (screenplay), John Gay (screenplay), Terence Rattigan (based on a play by)",1958,7.5
"James Stewart, Lee Remick, Ben Gazzara, Arthur O'Connell",Nominated for 7 Oscars. Another 9 wins & 11 nominations.,N/A,USA,Otto Preminger,"Crime, Drama, Mystery, Thriller",NOT RATED,Anatomy of a Murder,"Wendell Mayes (screenplay), John D. Voelker (based on the novel by)",1959,8.1
"Millie Perkins, Joseph Schildkraut, Shelley Winters, Richard Beymer",Won 3 Oscars. Another 5 wins & 14 nominations.,N/A,USA,George Stevens,"Biography, Drama, Family, History, War",APPROVED,The Diary of Anne Frank,"Frances Goodrich (screenplay), Albert Hackett (screenplay), Frances Goodrich (from the play by), Albert Hackett (from the play by), Anne Frank (based on the book ""Anne Frank: The Diary of a Young Girl"" by)",1959,7.4
"Audrey Hepburn, Peter Finch, Edith Evans, Peggy Ashcroft",Nominated for 8 Oscars. Another 11 wins & 15 nominations.,N/A,USA,Fred Zinnemann,Drama,NOT RATED,The Nun's Story,"Robert Anderson (screenplay), Kathryn Hulme (book)",1959,7.6
"Simone Signoret, Laurence Harvey, Heather Sears, Donald Wolfit",Won 2 Oscars. Another 8 wins & 15 nominations.,N/A,UK,Jack Clayton,"Drama, Romance",N/A,Room at the Top,"Neil Paterson (screenplay), John Braine (adapted from the novel by)",1959,7.7
"Dennis Quaid, Billy Bob Thornton, Jason Patric, Patrick Wilson",1 nomination.,N/A,USA,John Lee Hancock,"Drama, History, War, Western",PG-13,The Alamo,"Leslie Bohem, Stephen Gaghan, John Lee Hancock",2004,6.0
"Burt Lancaster, Jean Simmons, Arthur Kennedy, Dean Jagger",Won 3 Oscars. Another 8 wins & 12 nominations.,N/A,USA,Richard Brooks,Drama,APPROVED,Elmer Gantry,"Richard Brooks (screenplay), Sinclair Lewis (from the novel by)",1960,7.8
"Trevor Howard, Dean Stockwell, Wendy Hiller, Mary Ure",Won 1 Oscar. Another 7 wins & 16 nominations.,N/A,UK,Jack Cardiff,Drama,N/A,Sons and Lovers,"Gavin Lambert (screenplay), T.E.B. Clarke (screenplay), D.H. Lawrence (novel)",1960,7.3
"Deborah Kerr, Robert Mitchum, Peter Ustinov, Glynis Johns",Nominated for 5 Oscars. Another 4 wins & 8 nominations.,N/A,"UK, USA, Australia",Fred Zinnemann,"Drama, Adventure",UNRATED,The Sundowners,"Isobel Lennart (screenplay), Jon Cleary (novel)",1960,7.2
"Leslie Caron, Horst Buchholz, Maurice Chevalier, Charles Boyer",Nominated for 5 Oscars. Another 1 win & 11 nominations.,N/A,USA,Joshua Logan,"Drama, Romance",NOT RATED,Fanny,"S.N. Behrman (play), Joshua Logan (play), Marcel Pagnol (from the Marseilles trilogy by), Julius J. Epstein (screenplay)",1961,7.0
"Gregory Peck, David Niven, Anthony Quinn, Stanley Baker",Won 1 Oscar. Another 3 wins & 12 nominations.,N/A,"USA, UK",J. Lee Thompson,"Action, Adventure, Drama, War",TV-PG,The Guns of Navarone,"Alistair MacLean (novel), Carl Foreman (written for the screen by)",1961,7.6
"Paul Newman, Jackie Gleason, Piper Laurie, George C. Scott",Won 2 Oscars. Another 11 wins & 20 nominations.,N/A,USA,Robert Rossen,"Drama, Sport",NOT RATED,The Hustler,"Sidney Carroll (screenplay), Robert Rossen (screenplay), Walter Tevis (based on the novel by)",1961,8.0
"Spencer Tracy, Burt Lancaster, Richard Widmark, Marlene Dietrich",Won 2 Oscars. Another 14 wins & 25 nominations.,N/A,USA,Stanley Kramer,"Drama, War",NOT RATED,Judgment at Nuremberg,"Abby Mann, Abby Mann (based on his original story by)",1961,8.2
"Eddie Albert, Paul Anka, Arletty, Jean-Louis Barrault",Won 2 Oscars. Another 6 wins & 6 nominations.,N/A,USA,"Ken Annakin, Andrew Marton, Bernhard Wicki, Gerd Oswald, Darryl F. Zanuck","Action, Drama, History, War",G,The Longest Day,"Cornelius Ryan (screenplay), Cornelius Ryan (book), Romain Gary (additional episodes written by), James Jones (additional episodes written by), David Pursall (additional episodes written by), Jack Seddon (additional episodes written by)",1962,7.8
"Shirley Jones, Onna White, Susan Luckey, Buddy Hackett",N/A,N/A,USA,Scott Benson,"Documentary, Short, Family",N/A,Right Here in River City: The Making of Meredith Willson's 'The Music Man',Tom Edwards,1998,8.2
"Charles Laughton, Clark Gable, Franchot Tone, Herbert Mundin",Won 1 Oscar. Another 2 wins & 7 nominations.,N/A,USA,Frank Lloyd,"Adventure, Biography, Drama",NOT RATED,Mutiny on the Bounty,"Talbot Jennings (screenplay), Jules Furthman (screenplay), Carey Wilson (screenplay), Charles Nordhoff (book), James Norman Hall (book), Margaret Booth",1935,7.8
"Gregory Peck, John Megna, Frank Overton, Rosemary Murphy",Won 3 Oscars. Another 10 wins & 16 nominations.,N/A,USA,Robert Mulligan,"Crime, Drama",NOT RATED,To Kill a Mockingbird,"Harper Lee (based on her novel ""To Kill a Mockingbird""), Horton Foote (screenplay)",1962,8.3
"Stathis Giallelis, Frank Wolff, Harry Davis, Elena Karam",Won 1 Oscar. Another 6 wins & 11 nominations.,N/A,USA,Elia Kazan,Drama,NOT RATED,America America,Elia Kazan,1963,7.8
"Elizabeth Taylor, Richard Burton, Rex Harrison, Pamela Brown",Won 4 Oscars. Another 2 wins & 13 nominations.,N/A,"USA, UK, Switzerland",Joseph L. Mankiewicz,"Biography, Drama, History, Romance",G,Cleopatra,"Joseph L. Mankiewicz (screenplay), Ranald MacDougall (screenplay), Sidney Buchman (screenplay), Plutarch (histories), Suetonius (histories), Appian (histories), Carlo Maria Franzero (book)",1963,7.0
"Carroll Baker, Lee J. Cobb, Henry Fonda, Carolyn Jones",Won 3 Oscars. Another 7 wins & 5 nominations.,N/A,USA,"John Ford, Henry Hathaway, George Marshall, Richard Thorpe",Western,G,How the West Was Won,James R. Webb,1962,7.1
"Sidney Poitier, Lilia Skala, Lisa Mann, Isa Crino",Won 1 Oscar. Another 10 wins & 13 nominations.,N/A,USA,Ralph Nelson,Drama,UNRATED,Lilies of the Field,"James Poe (screenplay), William E. Barrett (novel)",1963,7.6
"Richard Burton, Peter O'Toole, John Gielgud, Gino Cervi",Won 1 Oscar. Another 13 wins & 23 nominations.,N/A,"UK, USA",Peter Glenville,"Biography, Drama, History",PG-13,Becket,"Jean Anouilh (play), Lucienne Hill (play), Edward Anhalt (screenplay)",1964,8.0
"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn",Nominated for 4 Oscars. Another 13 wins & 7 nominations.,N/A,"USA, UK",Stanley Kubrick,Comedy,PG,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Stanley Kubrick (screenplay), Terry Southern (screenplay), Peter George (screenplay), Peter George (based on the book: ""Red Alert"" by)",1964,8.4
"Julie Andrews, Dick Van Dyke, David Tomlinson, Glynis Johns",Won 5 Oscars. Another 15 wins & 17 nominations.,N/A,USA,Robert Stevenson,"Comedy, Family, Fantasy, Musical",G,Mary Poppins,"Bill Walsh (screenplay), Don DaGradi (screenplay), P.L. Travers (based on: The ""Mary Poppins"" books by)",1964,7.8
"Anthony Quinn, Alan Bates, Irene Papas, Lila Kedrova",Won 3 Oscars. Another 4 wins & 16 nominations.,N/A,"Greece, USA",Michael Cacoyannis,"Comedy, Drama",NOT RATED,Zorba the Greek,"Nikos Kazantzakis (from the novel ""The Life and Times of Alexis Zorba""), Michael Cacoyannis (screenplay)",1964,7.8
"Julie Christie, Laurence Harvey, Dirk Bogarde, José Luis de Vilallonga",Won 3 Oscars. Another 15 wins & 8 nominations.,N/A,UK,John Schlesinger,"Drama, Romance",TV-MA,Darling,"Frederic Raphael (screenplay), Frederic Raphael (idea), John Schlesinger (idea), Joseph Janni (idea)",1965,7.2
"Omar Sharif, Julie Christie, Geraldine Chaplin, Rod Steiger",Won 5 Oscars. Another 16 wins & 13 nominations.,N/A,"USA, Italy, UK",David Lean,"Drama, Romance, War",PG-13,Doctor Zhivago,"Boris Pasternak (novel), Robert Bolt (screenplay)",1965,8.0
"Vivien Leigh, Simone Signoret, José Ferrer, Lee Marvin",Won 2 Oscars. Another 3 wins & 13 nominations.,N/A,USA,Stanley Kramer,"Drama, Romance, War",NOT RATED,Ship of Fools,"Katherine Anne Porter (novel), Abby Mann (screenplay)",1965,7.2
"Jason Robards, Barbara Harris, Martin Balsam, Gene Saks",Won 1 Oscar. Another 3 wins & 7 nominations.,N/A,USA,Fred Coe,"Comedy, Drama, Romance",UNRATED,A Thousand Clowns,"Herb Gardner (screenplay), Herb Gardner (based on his original play)",1965,7.6
"Jude Law, Renée Taylor, Jane Krakowski, Jeff Harding",Won 1 Golden Globe. Another 6 wins & 7 nominations.,"$13,351,235","UK, USA",Charles Shyer,"Comedy, Drama, Romance",R,Alfie,"Bill Naughton (play), Bill Naughton (earlier screenplay), Elaine Pope (screenplay), Charles Shyer (screenplay)",2004,6.2
N/A,N/A,N/A,USA,Greg Carson,"Documentary, Short",N/A,"The Russians Are Coming, the Russians Are Coming: The Russians Are Coming to Hollywood",N/A,2002,6.4
"Steve McQueen, Richard Attenborough, Richard Crenna, Candice Bergen",Nominated for 8 Oscars. Another 2 wins & 13 nominations.,N/A,USA,Robert Wise,"Adventure, Drama, Romance, War",PG-13,The Sand Pebbles,"Richard McKenna (novel), Robert Anderson (screenplay)",1966,7.7
"Elizabeth Taylor, Richard Burton, George Segal, Sandy Dennis",Won 5 Oscars. Another 17 wins & 23 nominations.,N/A,USA,Mike Nichols,Drama,NOT RATED,Who's Afraid of Virginia Woolf?,Ernest Lehman (screenplay),1966,8.0
