Year,Ceremony,Award,Winner,Title,Company,Revenue,Budget,Runtime,Vote Average,Vote Count,Popularity,Genre,Release Date,Movie ID
1962,35,Best Picture,1,Lawrence of Arabia,Horizon Pictures (II),69995385,15000000,216,8.0,1273,9.094,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",1962-12-10,947
1962,35,Best Picture,0,The Longest Day,Darryl F. Zanuck Productions,50100000,10000000,178,7.5,362,6.095,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",1962-09-25,9289
1962,35,Best Picture,0,Double Indemnity,Paramount,2500000,927262,107,8.2,644,5.554,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",1944-04-24,996
1962,35,Best Picture,0,Mutiny on the Bounty,Arcola Pictures,13680000,19000000,178,6.9,101,4.762,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",1962-11-08,11085
1962,35,Best Picture,0,To Kill a Mockingbird,Universal International Pictures,13129846,2000000,129,8.0,1142,5.854,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",1962-12-25,595
1963,36,Best Picture,0,America America,Athena Enterprises,0,0,174,6.4,26,0.964,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",1963-12-15,47249
1963,36,Best Picture,0,Cleopatra,MCL Films S.A.,71000000,31115000,248,6.9,227,6.439,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",1963-06-12,8095
1963,36,Best Picture,0,How the West Was Won,Metro-Goldwyn-Mayer,50000000,15000000,162,7.0,133,5.98,"[{'id': 37, 'name': 'Western'}, {'id': 36, 'name': 'History'}]",1962-11-01,11897
1963,36,Best Picture,0,Lilies of the Field,Rainbow Productions,0,0,94,7.2,39,2.15,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",1963-06-04,38805
1963,36,Best Picture,1,Tom Jones,Woodfall Film Productions,37600000,1000000,128,6.6,53,4.589,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1963-08-24,5769
1964,37,Best Picture,0,Becket,Paramount,0,0,148,7.4,67,2.825,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",1964-03-11,15421
1964,37,Best Picture,0,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Hawk Films,9440272,1800000,95,8.1,2348,8.483,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10752, 'name': 'War'}]",1964-01-29,935
1964,37,Best Picture,0,Mary Poppins,Walt Disney Productions,102272727,6000000,139,7.5,2033,9.715,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",1964-08-27,433
1964,37,Best Picture,1,My Fair Lady,Warner Bros. Pictures,72070731,17000000,170,7.7,540,8.439,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1964-10-21,11113
1964,37,Best Picture,0,Αλέξης Ζορμπάς,20th Century Fox,0,783000,142,7.4,106,4.756,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",1964-12-14,10604
1965,38,Best Picture,0,Darling,Vic Films Productions,0,0,128,6.7,41,4.586,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1965-08-03,24134
1965,38,Best Picture,0,Doctor Zhivago,Metro-Goldwyn-Mayer,111858363,11000000,200,7.6,405,4.915,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",1965-12-22,907
1965,38,Best Picture,0,Ship of Fools,Stanley Kramer Productions,0,0,149,6.2,24,2.326,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}, {'id': 10749, 'name': 'Romance'}]",1965-07-29,30080
1965,38,Best Picture,1,The Sound of Music,Robert Wise Productions,286214286,8200000,174,7.6,1458,8.17,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",1965-03-02,15121
1965,38,Best Picture,0,A Thousand Clowns,Harrell,0,0,118,7.4,11,0.687,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1965-12-13,42731
1966,39,Best Picture,0,Alfie,Paramount,0,0,114,6.7,90,3.369,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1966-03-29,15598
1966,39,Best Picture,1,A Man for All Seasons,Highland Films,28350000,3900000,120,7.6,136,5.283,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",1966-12-12,874
1966,39,Best Picture,0,"The Russians Are Coming, The Russians Are Coming",The Mirisch Corporation,0,0,126,6.4,39,2.331,"[{'id': 35, 'name': 'Comedy'}, {'id': 10752, 'name': 'War'}]",1966-05-25,31918
1966,39,Best Picture,0,The Sand Pebbles,Robert Wise Productions,20000000,12000000,182,7.3,95,5.858,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}, {'id': 10749, 'name': 'Romance'}]",1966-12-20,5923
1966,39,Best Picture,0,Who's Afraid of Virginia Woolf?,Chenault Productions,33736689,7500000,131,8.0,299,5.537,"[{'id': 18, 'name': 'Drama'}]",1966-06-21,396
1967,40,Best Picture,0,Bonnie and Clyde,Tatira-Hiller Productions,50700000,2500000,111,7.6,576,5.059,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",1967-07-18,475
